"person_id","household_id","primary_purpose","trip_num","outbound","trip_count","tour_id","purpose","destination_logsum","depart","trip_mode","mode_choice_logsum","trip_id","origin","destination"
26415,26415,"shopping",1,false,1,1083048,"home",,17,"WALK_LOC",7.1332929270004755,8664389,16,8
26418,26418,"othdiscr",1,true,1,1083163,"othdiscr",,20,"WALK",5.455999260306873,8665305,8,16
26418,26418,"othdiscr",1,false,1,1083163,"home",,22,"WALK",5.316499480577745,8665309,16,8
26418,26418,"univ",1,true,1,1083169,"univ",,9,"WALK",9.848192621744055,8665353,8,9
26418,26418,"univ",1,false,4,1083169,"othdiscr",52.347898700308896,17,"WALK",9.642232555661112,8665357,9,7
26418,26418,"univ",2,false,4,1083169,"escort",58.4037639454305,17,"WALK",13.595037388275301,8665358,7,7
26418,26418,"univ",3,false,4,1083169,"escort",58.406406741365466,18,"WALK",13.595037388275301,8665359,7,7
26418,26418,"univ",4,false,4,1083169,"home",,18,"WALK",13.204797390957127,8665360,7,8
26440,26440,"othdiscr",1,true,1,1084065,"othdiscr",,16,"WALK",14.303266206534373,8672521,8,7
26440,26440,"othdiscr",1,false,1,1084065,"home",,21,"WALK",14.013106225790104,8672525,7,8
26441,26441,"othmaint",1,true,2,1084109,"othmaint",26.60449075213116,10,"WALK",8.971583072568516,8672873,8,7
26441,26441,"othmaint",2,true,2,1084109,"othmaint",,10,"WALK",-0.21873055400979022,8672874,7,2
26441,26441,"othmaint",1,false,1,1084109,"home",,16,"WALK",-0.35172213379500983,8672877,2,8
26477,26477,"othdiscr",1,true,1,1085582,"othdiscr",,7,"WALK",10.557413664048966,8684657,8,9
26477,26477,"othdiscr",1,false,1,1085582,"home",,7,"WALK",10.557413664047951,8684661,9,8
26477,26477,"univ",1,true,3,1085588,"shopping",29.622509808290708,7,"WALK",9.696839721702853,8684705,8,9
26477,26477,"univ",2,true,3,1085588,"othdiscr",32.59315280906719,8,"WALK_LOC",12.748018007415089,8684706,9,7
26477,26477,"univ",3,true,3,1085588,"univ",,8,"WALK_LOC",-1.2990283150918844,8684707,7,13
26477,26477,"univ",1,false,4,1085588,"othmaint",32.87908688628651,14,"WALK_LOC",-1.2098585670288355,8684709,13,7
26477,26477,"univ",2,false,4,1085588,"escort",55.98917490585634,14,"WALK",12.563937363070886,8684710,7,7
26477,26477,"univ",3,false,4,1085588,"othmaint",57.52756005636423,14,"WALK",12.563937363070886,8684711,7,7
